,token,ocurrences
48,decisão,"[[1, 3], [2, 2], [5, 2], [8, 2], [17, 1], [21, 1], [29, 2], [34, 1], [47, 1], [49, 1], [63, 1], [64, 2], [65, 1], [69, 1], [77, 3], [88, 1], [103, 3], [105, 1], [106, 1], [107, 1], [126, 2], [133, 2], [138, 1], [163, 1], [165, 2], [184, 1], [202, 6], [206, 11], [208, 4], [220, 2], [229, 2], [233, 1], [242, 1]]"
49,defesa,"[[1, 2], [2, 1], [21, 1], [25, 1], [26, 2], [38, 2], [42, 2], [45, 1], [51, 2], [55, 1], [56, 1], [62, 1], [63, 4], [65, 1], [67, 1], [74, 2], [81, 1], [82, 1], [92, 1], [93, 1], [95, 2], [99, 2], [100, 2], [101, 2], [104, 2], [111, 1], [115, 3], [116, 1], [120, 1], [121, 1], [143, 1], [163, 1], [166, 1], [172, 2], [173, 1], [202, 1], [208, 2], [219, 1], [221, 2], [223, 1], [225, 1], [226, 1], [227, 1], [238, 1]]"
50,definição,"[[1, 1], [47, 1], [60, 1], [123, 1], [209, 2], [220, 1]]"
51,deflagrada,"[[1, 1], [207, 1]]"
52,deixar,"[[1, 1], [6, 1], [8, 1], [14, 1], [18, 1], [26, 1], [28, 1], [32, 1], [45, 2], [46, 1], [47, 1], [57, 1], [65, 1], [66, 1], [69, 3], [79, 1], [82, 1], [105, 1], [107, 1], [109, 1], [115, 1], [120, 1], [138, 2], [148, 1], [151, 1], [152, 1], [157, 2], [163, 1], [166, 2], [172, 1], [173, 1], [174, 2], [191, 1], [197, 2], [199, 1], [208, 1], [214, 2], [216, 1], [235, 1], [243, 1], [248, 1], [249, 1]]"
53,democrática,"[[1, 1], [25, 1], [29, 1], [69, 1], [112, 1], [151, 1], [158, 1], [160, 1], [165, 1], [173, 2], [185, 1]]"
54,democráticos,"[[1, 1], [95, 1], [129, 1], [151, 1], [152, 1], [166, 1], [210, 2], [248, 1]]"
55,desobedece,"[[1, 2]]"
56,desta,"[[1, 1], [2, 1], [20, 2], [23, 4], [26, 1], [28, 1], [37, 1], [41, 2], [45, 1], [50, 1], [54, 1], [59, 1], [67, 1], [68, 1], [70, 1], [81, 1], [88, 1], [90, 3], [91, 1], [102, 1], [103, 2], [112, 1], [117, 1], [119, 1], [124, 1], [129, 1], [131, 1], [143, 1], [145, 1], [146, 1], [172, 1], [177, 1], [178, 1], [183, 1], [185, 1], [187, 1], [189, 1], [192, 1], [196, 1], [197, 1], [201, 1], [205, 1], [206, 1], [207, 1], [208, 1], [209, 1], [212, 5], [215, 1], [216, 2], [218, 2], [219, 1], [222, 2], [231, 1], [240, 1], [241, 1], [244, 1], [249, 1]]"
57,devem,"[[1, 1], [11, 1], [23, 1], [33, 3], [42, 1], [43, 1], [52, 1], [61, 1], [64, 1], [78, 1], [80, 1], [90, 1], [92, 1], [94, 1], [99, 1], [122, 2], [135, 2], [143, 1], [146, 1], [151, 2], [152, 1], [153, 4], [157, 1], [161, 1], [163, 1], [185, 2], [186, 1], [206, 1], [211, 2], [239, 1]]"
58,dia,"[[1, 3], [2, 1], [4, 2], [6, 2], [9, 1], [11, 2], [12, 3], [13, 1], [15, 1], [16, 2], [19, 5], [20, 1], [22, 2], [26, 3], [30, 3], [32, 1], [38, 1], [39, 1], [40, 1], [42, 1], [53, 1], [54, 1], [56, 2], [57, 1], [59, 5], [61, 1], [63, 2], [64, 2], [65, 5], [69, 1], [70, 1], [73, 1], [76, 1], [77, 1], [78, 1], [87, 1], [90, 1], [91, 4], [92, 2], [94, 12], [95, 1], [98, 1], [99, 1], [102, 1], [105, 1], [106, 1], [107, 2], [108, 1], [109, 3], [111, 1], [112, 1], [118, 1], [119, 3], [121, 1], [126, 1], [133, 1], [136, 1], [138, 1], [141, 2], [142, 1], [151, 4], [154, 2], [157, 3], [160, 1], [165, 1], [166, 4], [169, 1], [172, 4], [174, 1], [176, 1], [177, 1], [181, 1], [184, 1], [185, 1], [189, 1], [191, 1], [192, 1], [195, 6], [196, 2], [197, 3], [204, 1], [207, 3], [208, 1], [213, 1], [214, 2], [215, 4], [221, 2], [223, 1], [224, 2], [226, 5], [229, 2], [233, 1], [235, 2], [238, 4], [241, 1], [244, 3], [249, 4]]"
59,dias,"[[1, 1], [6, 2], [7, 3], [8, 2], [14, 1], [18, 1], [21, 2], [22, 1], [25, 1], [30, 1], [32, 1], [37, 3], [42, 1], [43, 1], [45, 1], [46, 1], [49, 1], [50, 1], [57, 1], [59, 1], [61, 1], [63, 1], [65, 5], [69, 4], [70, 1], [76, 1], [77, 1], [79, 1], [80, 1], [81, 1], [86, 1], [87, 2], [88, 1], [93, 2], [95, 2], [96, 1], [97, 2], [98, 3], [99, 1], [100, 1], [103, 2], [104, 1], [106, 1], [111, 1], [115, 1], [118, 1], [119, 1], [123, 1], [125, 1], [126, 1], [131, 1], [135, 1], [137, 1], [138, 1], [139, 1], [140, 1], [147, 1], [151, 5], [157, 1], [158, 2], [161, 1], [166, 3], [174, 1], [175, 1], [177, 1], [178, 2], [179, 1], [180, 1], [181, 2], [195, 4], [196, 4], [197, 2], [200, 1], [202, 1], [207, 1], [209, 1], [211, 1], [213, 1], [214, 1], [215, 1], [216, 1], [217, 4], [221, 1], [222, 1], [223, 2], [226, 1], [227, 2], [232, 2], [233, 1], [234, 1], [235, 1], [236, 2], [237, 1], [239, 1], [241, 1], [243, 1], [244, 1], [247, 2], [249, 2]]"
60,dinheiro,"[[1, 1], [2, 1], [10, 1], [13, 1], [14, 2], [26, 1], [31, 1], [34, 1], [40, 1], [41, 2], [47, 4], [65, 1], [69, 2], [70, 1], [80, 1], [83, 1], [88, 1], [106, 1], [117, 1], [125, 2], [127, 1], [135, 1], [138, 1], [140, 1], [144, 1], [149, 1], [157, 1], [167, 1], [171, 1], [178, 1], [180, 1], [184, 1], [189, 1], [197, 1], [202, 2], [204, 2], [207, 3], [213, 1], [217, 1], [219, 1], [220, 1], [243, 3], [249, 3]]"
61,direitos,"[[1, 3], [3, 1], [8, 1], [16, 1], [18, 1], [20, 1], [26, 1], [29, 2], [33, 4], [47, 1], [55, 1], [76, 2], [77, 1], [88, 1], [93, 1], [95, 1], [101, 2], [115, 1], [117, 4], [120, 1], [125, 2], [146, 1], [151, 1], [153, 4], [158, 3], [161, 1], [165, 2], [166, 3], [169, 1], [171, 2], [172, 1], [173, 2], [185, 3], [191, 3], [200, 1], [210, 1], [213, 1], [218, 1], [223, 1], [233, 1], [242, 1], [245, 1], [248, 1]]"
62,discurso,"[[1, 2], [3, 1], [26, 3], [29, 2], [37, 3], [69, 1], [82, 1], [95, 1], [99, 1], [102, 1], [113, 1], [115, 1], [121, 2], [130, 1], [144, 2], [166, 1], [190, 1], [208, 1], [210, 1], [211, 2], [213, 2], [214, 2], [216, 1], [218, 1], [221, 7], [222, 1], [225, 1], [230, 1], [236, 2], [240, 1], [244, 1]]"
63,disponível,"[[1, 1], [55, 1], [80, 1], [86, 1], [119, 1], [205, 1], [211, 2]]"
64,disse,"[[1, 4], [4, 2], [5, 1], [6, 1], [8, 2], [10, 1], [11, 1], [13, 3], [17, 1], [19, 3], [24, 1], [25, 1], [26, 2], [28, 1], [37, 1], [39, 1], [40, 3], [41, 2], [42, 1], [45, 2], [49, 2], [55, 2], [58, 4], [63, 7], [64, 1], [69, 4], [70, 4], [73, 1], [75, 1], [77, 2], [79, 2], [80, 3], [82, 4], [93, 2], [94, 1], [95, 2], [96, 1], [97, 3], [98, 1], [102, 1], [103, 3], [106, 1], [111, 4], [112, 1], [113, 2], [114, 1], [115, 1], [117, 2], [118, 1], [119, 1], [122, 4], [124, 1], [136, 1], [151, 1], [154, 1], [158, 2], [160, 1], [164, 1], [166, 3], [172, 2], [173, 1], [193, 1], [195, 5], [196, 2], [197, 2], [198, 1], [205, 4], [208, 1], [209, 3], [212, 1], [213, 2], [214, 1], [215, 3], [217, 1], [218, 2], [220, 1], [222, 1], [223, 1], [225, 1], [226, 1], [228, 1], [230, 4], [231, 1], [232, 2], [233, 2], [235, 7], [237, 2], [238, 3], [240, 3], [241, 2], [242, 1], [246, 1], [247, 1], [249, 2]]"
65,ditadura,"[[1, 4], [3, 5], [6, 6], [7, 16], [25, 3], [63, 1], [93, 1], [95, 9], [104, 2], [114, 2], [115, 6], [120, 3], [151, 3], [158, 1], [165, 9], [166, 8], [169, 5], [172, 9], [174, 1], [204, 1], [208, 4], [216, 11], [218, 1], [223, 5], [224, 2], [229, 2], [230, 11], [233, 4], [238, 13]]"
66,divulgado,"[[1, 1], [21, 1], [114, 1], [115, 1], [127, 1], [226, 1], [229, 1], [238, 1], [246, 1]]"
67,diz,"[[1, 1], [4, 1], [6, 3], [7, 1], [12, 2], [13, 6], [14, 8], [17, 1], [19, 1], [21, 1], [22, 3], [25, 2], [29, 1], [30, 1], [31, 1], [36, 1], [37, 3], [41, 1], [43, 2], [45, 2], [49, 1], [57, 2], [58, 1], [60, 1], [61, 1], [69, 2], [75, 1], [79, 1], [83, 1], [84, 2], [89, 6], [93, 2], [95, 1], [96, 1], [99, 2], [100, 1], [101, 3], [102, 1], [108, 3], [109, 3], [110, 2], [114, 5], [115, 1], [117, 1], [119, 2], [122, 1], [123, 2], [124, 2], [125, 3], [127, 1], [129, 2], [130, 4], [133, 1], [135, 1], [137, 1], [138, 3], [140, 2], [143, 2], [144, 2], [159, 1], [161, 1], [166, 2], [172, 1], [175, 1], [176, 1], [178, 4], [180, 1], [181, 2], [183, 5], [190, 1], [194, 3], [195, 2], [197, 1], [198, 2], [199, 3], [201, 3], [202, 3], [205, 3], [206, 2], [208, 3], [214, 4], [216, 7], [217, 9], [222, 1], [223, 4], [224, 2], [226, 2], [229, 2], [230, 1], [232, 1], [236, 1], [238, 7], [239, 1], [240, 1], [241, 1], [242, 1], [248, 1], [249, 8]]"
68,dizer,"[[1, 1], [3, 1], [6, 1], [9, 1], [11, 1], [13, 1], [25, 3], [30, 1], [34, 2], [41, 1], [63, 4], [69, 1], [80, 1], [83, 1], [84, 1], [89, 3], [95, 1], [102, 2], [109, 1], [119, 2], [122, 1], [127, 1], [143, 1], [154, 1], [156, 1], [157, 1], [158, 1], [159, 1], [165, 1], [166, 2], [172, 1], [177, 1], [184, 1], [187, 1], [189, 1], [199, 1], [202, 1], [205, 3], [206, 1], [208, 1], [211, 2], [214, 1], [216, 1], [218, 1], [221, 5], [222, 2], [223, 1], [235, 1], [238, 1], [247, 1], [249, 1]]"
69,dura,"[[1, 1], [37, 1], [49, 1], [82, 2], [90, 1], [104, 1], [107, 1], [113, 1], [121, 1], [132, 1], [163, 1], [164, 1], [180, 1], [216, 1], [223, 1], [236, 1]]"
70,elogiosamente,"[[1, 1]]"
71,emedebista,"[[1, 1], [206, 1]]"
72,entrou,"[[1, 1], [2, 1], [37, 1], [47, 1], [65, 1], [69, 1], [86, 1], [98, 1], [103, 1], [110, 1], [112, 1], [115, 1], [119, 1], [143, 2], [151, 2], [172, 1], [197, 1], [205, 1], [249, 2]]"
73,enviesada,"[[1, 1]]"
74,especialmente,"[[1, 1], [2, 1], [10, 1], [11, 1], [12, 1], [19, 1], [41, 1], [56, 1], [69, 1], [70, 1], [76, 1], [78, 1], [96, 1], [102, 1], [109, 1], [113, 1], [123, 3], [128, 1], [132, 2], [138, 1], [140, 1], [146, 1], [160, 1], [162, 1], [164, 3], [169, 1], [171, 1], [179, 1], [183, 1], [189, 1], [204, 1], [211, 1], [217, 1]]"
75,estado,"[[1, 2], [2, 1], [3, 1], [7, 8], [8, 6], [18, 1], [21, 1], [23, 1], [25, 1], [26, 1], [29, 1], [32, 1], [42, 2], [47, 2], [50, 1], [60, 1], [63, 5], [65, 2], [69, 5], [77, 2], [86, 1], [87, 1], [88, 2], [89, 3], [91, 1], [94, 1], [95, 1], [98, 2], [99, 1], [105, 4], [108, 1], [110, 1], [111, 3], [112, 1], [114, 2], [119, 1], [124, 2], [129, 1], [139, 1], [141, 2], [142, 2], [145, 1], [150, 1], [151, 5], [152, 1], [154, 1], [155, 1], [160, 1], [163, 1], [164, 1], [165, 2], [166, 2], [168, 1], [169, 2], [171, 1], [173, 4], [184, 2], [197, 3], [203, 1], [205, 1], [208, 1], [210, 1], [215, 2], [217, 4], [218, 1], [223, 2], [224, 1], [225, 1], [228, 1], [232, 1], [233, 2], [237, 2], [238, 1], [241, 2], [242, 1], [244, 1], [245, 1], [248, 2], [249, 8]]"
76,existe,"[[1, 1], [3, 1], [14, 1], [18, 1], [19, 1], [24, 1], [25, 2], [29, 2], [31, 1], [45, 1], [47, 1], [82, 1], [84, 1], [87, 1], [88, 1], [89, 1], [102, 1], [119, 2], [124, 2], [130, 1], [137, 2], [151, 1], [152, 1], [157, 1], [164, 1], [169, 1], [172, 1], [180, 1], [182, 1], [197, 1], [201, 1], [202, 1], [207, 1], [211, 1], [215, 1], [217, 1], [218, 1], [221, 8], [234, 1], [235, 2], [236, 2], [237, 1], [248, 7]]"
